bs_code,code_6,stock_name,exchange,weight_pct
sz.000001,000001,平安银行,深圳证券交易所,0.425
sz.000002,000002,万科A,深圳证券交易所,0.101
sz.000063,000063,中兴通讯,深圳证券交易所,0.451
sz.000100,000100,TCL科技,深圳证券交易所,0.338
sz.000157,000157,中联重科,深圳证券交易所,0.15
sz.000166,000166,申万宏源,深圳证券交易所,0.163
sz.000301,000301,东方盛虹,深圳证券交易所,0.134
sz.000333,000333,美的集团,深圳证券交易所,1.521
sz.000338,000338,潍柴动力,深圳证券交易所,0.644
sz.000408,000408,藏格矿业,深圳证券交易所,0.267
sz.000425,000425,徐工机械,深圳证券交易所,0.356
sz.000538,000538,云南白药,深圳证券交易所,0.18
sz.000568,000568,泸州老窖,深圳证券交易所,0.281
sz.000596,000596,古井贡酒,深圳证券交易所,0.067
sz.000617,000617,中油资本,深圳证券交易所,0.091
sz.000625,000625,长安汽车,深圳证券交易所,0.18
sz.000630,000630,铜陵有色,深圳证券交易所,0.189
sz.000651,000651,格力电器,深圳证券交易所,0.684
sz.000661,000661,长春高新,深圳证券交易所,0.106
sz.000708,000708,中信特钢,深圳证券交易所,0.059
sz.000725,000725,京东方A,深圳证券交易所,0.571
sz.000768,000768,中航西飞,深圳证券交易所,0.125
sz.000776,000776,广发证券,深圳证券交易所,0.239
sz.000786,000786,北新建材,深圳证券交易所,0.101
sz.000792,000792,盐湖股份,深圳证券交易所,0.475
sz.000807,000807,云铝股份,深圳证券交易所,0.252
sz.000858,000858,五 粮 液,深圳证券交易所,0.718
sz.000876,000876,新 希 望,深圳证券交易所,0.075
sz.000895,000895,双汇发展,深圳证券交易所,0.11
sz.000938,000938,紫光股份,深圳证券交易所,0.244
sz.000963,000963,华东医药,深圳证券交易所,0.111
sz.000975,000975,山金国际,深圳证券交易所,0.165
sz.000977,000977,浪潮信息,深圳证券交易所,0.273
sz.000983,000983,山西焦煤,深圳证券交易所,0.076
sz.000999,000999,华润三九,深圳证券交易所,0.066
sz.001391,001391,国货航,深圳证券交易所,0.019
sz.001965,001965,招商公路,深圳证券交易所,0.073
sz.001979,001979,招商蛇口,深圳证券交易所,0.12
sz.002001,002001,新和成,深圳证券交易所,0.204
sz.002027,002027,分众传媒,深圳证券交易所,0.242
sz.002028,002028,思源电气,深圳证券交易所,0.463
sz.002049,002049,紫光国微,深圳证券交易所,0.2
sz.002050,002050,三花智控,深圳证券交易所,0.4
sz.002074,002074,国轩高科,深圳证券交易所,0.152
sz.002142,002142,宁波银行,深圳证券交易所,0.418
sz.002179,002179,中航光电,深圳证券交易所,0.177
sz.002230,002230,科大讯飞,深圳证券交易所,0.421
sz.002236,002236,大华股份,深圳证券交易所,0.139
sz.002241,002241,歌尔股份,深圳证券交易所,0.232
sz.002252,002252,上海莱士,深圳证券交易所,0.112
sz.002304,002304,洋河股份,深圳证券交易所,0.113
sz.002311,002311,海大集团,深圳证券交易所,0.158
sz.002352,002352,顺丰控股,深圳证券交易所,0.339
sz.002371,002371,北方华创,深圳证券交易所,0.886
sz.002384,002384,东山精密,深圳证券交易所,0.912
sz.002415,002415,海康威视,深圳证券交易所,0.507
sz.002422,002422,科伦药业,深圳证券交易所,0.147
sz.002459,002459,晶澳科技,深圳证券交易所,0.082
sz.002460,002460,赣锋锂业,深圳证券交易所,0.382
sz.002463,002463,沪电股份,深圳证券交易所,0.526
sz.002466,002466,天齐锂业,深圳证券交易所,0.315
sz.002475,002475,立讯精密,深圳证券交易所,1.301
sz.002493,002493,荣盛石化,深圳证券交易所,0.159
sz.002594,002594,比亚迪,深圳证券交易所,1.066
sz.002600,002600,领益智造,深圳证券交易所,0.196
sz.002601,002601,龙佰集团,深圳证券交易所,0.108
sz.002625,002625,光启技术,深圳证券交易所,0.225
sz.002648,002648,卫星化学,深圳证券交易所,0.19
sz.002709,002709,天赐材料,深圳证券交易所,0.328
sz.002714,002714,牧原股份,深圳证券交易所,0.465
sz.002736,002736,国信证券,深圳证券交易所,0.125
sz.002916,002916,深南电路,深圳证券交易所,0.318
sz.002920,002920,德赛西威,深圳证券交易所,0.117
sz.002938,002938,鹏鼎控股,深圳证券交易所,0.191
sz.003816,003816,中国广核,深圳证券交易所,0.137
sz.300014,300014,亿纬锂能,深圳证券交易所,0.344
sz.300015,300015,爱尔眼科,深圳证券交易所,0.192
sz.300033,300033,同花顺,深圳证券交易所,0.27
sz.300059,300059,东方财富,深圳证券交易所,0.981
sz.300122,300122,智飞生物,深圳证券交易所,0.069
sz.300124,300124,汇川技术,深圳证券交易所,0.494
sz.300251,300251,光线传媒,深圳证券交易所,0.083
sz.300274,300274,阳光电源,深圳证券交易所,0.76
sz.300308,300308,中际旭创,深圳证券交易所,3.63
sz.300316,300316,晶盛机电,深圳证券交易所,0.106
sz.300347,300347,泰格医药,深圳证券交易所,0.109
sz.300394,300394,天孚通信,深圳证券交易所,0.546
sz.300408,300408,三环集团,深圳证券交易所,0.438
sz.300413,300413,芒果超媒,深圳证券交易所,0.055
sz.300418,300418,昆仑万维,深圳证券交易所,0.164
sz.300433,300433,蓝思科技,深圳证券交易所,0.195
sz.300442,300442,润泽科技,深圳证券交易所,0.277
sz.300476,300476,胜宏科技,深圳证券交易所,0.762
sz.300498,300498,温氏股份,深圳证券交易所,0.333
sz.300502,300502,新易盛,深圳证券交易所,1.991
sz.300628,300628,亿联网络,深圳证券交易所,0.071
sz.300661,300661,圣邦股份,深圳证券交易所,0.152
sz.300750,300750,宁德时代,深圳证券交易所,4.393
sz.300759,300759,康龙化成,深圳证券交易所,0.115
sz.300760,300760,迈瑞医疗,深圳证券交易所,0.389
sz.300782,300782,卓胜微,深圳证券交易所,0.131
sz.300803,300803,指南针,深圳证券交易所,0.135
sz.300832,300832,新产业,深圳证券交易所,0.072
sz.300866,300866,安克创新,深圳证券交易所,0.102
sz.300896,300896,爱美客,深圳证券交易所,0.066
sz.300979,300979,华利集团,深圳证券交易所,0.025
sz.300999,300999,金龙鱼,深圳证券交易所,0.065
sz.301236,301236,软通动力,深圳证券交易所,0.093
sz.301269,301269,华大九天,深圳证券交易所,0.074
sz.302132,302132,中航成飞,深圳证券交易所,0.075
sh.600000,600000,浦发银行,上海证券交易所,0.471
sh.600009,600009,上海机场,上海证券交易所,0.129
sh.600010,600010,包钢股份,上海证券交易所,0.233
sh.600011,600011,华能国际,上海证券交易所,0.117
sh.600015,600015,华夏银行,上海证券交易所,0.167
sh.600016,600016,民生银行,上海证券交易所,0.35
sh.600018,600018,上港集团,上海证券交易所,0.053
sh.600019,600019,宝钢股份,上海证券交易所,0.209
sh.600023,600023,浙能电力,上海证券交易所,0.087
sh.600025,600025,华能水电,上海证券交易所,0.068
sh.600026,600026,中远海能,上海证券交易所,0.137
sh.600027,600027,华电国际,上海证券交易所,0.075
sh.600028,600028,中国石化,上海证券交易所,0.299
sh.600029,600029,南方航空,上海证券交易所,0.111
sh.600030,600030,中信证券,上海证券交易所,1.012
sh.600031,600031,三一重工,上海证券交易所,0.46
sh.600036,600036,招商银行,上海证券交易所,1.805
sh.600039,600039,四川路桥,上海证券交易所,0.081
sh.600048,600048,保利发展,上海证券交易所,0.168
sh.600050,600050,中国联通,上海证券交易所,0.269
sh.600061,600061,国投资本,上海证券交易所,0.065
sh.600066,600066,宇通客车,上海证券交易所,0.179
sh.600085,600085,同仁堂,上海证券交易所,0.073
sh.600089,600089,特变电工,上海证券交易所,0.516
sh.600104,600104,上汽集团,上海证券交易所,0.241
sh.600111,600111,北方稀土,上海证券交易所,0.511
sh.600115,600115,中国东航,上海证券交易所,0.14
sh.600150,600150,中国船舶,上海证券交易所,0.718
sh.600160,600160,巨化股份,上海证券交易所,0.188
sh.600161,600161,天坛生物,上海证券交易所,0.054
sh.600176,600176,中国巨石,上海证券交易所,0.316
sh.600183,600183,生益科技,上海证券交易所,0.354
sh.600188,600188,兖矿能源,上海证券交易所,0.156
sh.600196,600196,复星医药,上海证券交易所,0.121
sh.600219,600219,南山铝业,上海证券交易所,0.143
sh.600233,600233,圆通速递,上海证券交易所,0.14
sh.600276,600276,恒瑞医药,上海证券交易所,0.917
sh.600309,600309,万华化学,上海证券交易所,0.641
sh.600346,600346,恒力石化,上海证券交易所,0.178
sh.600362,600362,江西铜业,上海证券交易所,0.18
sh.600372,600372,中航机载,上海证券交易所,0.12
sh.600377,600377,宁沪高速,上海证券交易所,0.023
sh.600406,600406,国电南瑞,上海证券交易所,0.397
sh.600415,600415,小商品城,上海证券交易所,0.138
sh.600426,600426,华鲁恒升,上海证券交易所,0.218
sh.600436,600436,片仔癀,上海证券交易所,0.165
sh.600438,600438,通威股份,上海证券交易所,0.179
sh.600460,600460,士兰微,上海证券交易所,0.128
sh.600482,600482,中国动力,上海证券交易所,0.166
sh.600489,600489,中金黄金,上海证券交易所,0.288
sh.600515,600515,海南机场,上海证券交易所,0.079
sh.600519,600519,贵州茅台,上海证券交易所,3.303
sh.600522,600522,中天科技,上海证券交易所,0.345
sh.600547,600547,山东黄金,上海证券交易所,0.237
sh.600570,600570,恒生电子,上海证券交易所,0.155
sh.600584,600584,长电科技,上海证券交易所,0.248
sh.600585,600585,海螺水泥,上海证券交易所,0.193
sh.600588,600588,用友网络,上海证券交易所,0.091
sh.600600,600600,青岛啤酒,上海证券交易所,0.086
sh.600660,600660,福耀玻璃,上海证券交易所,0.359
sh.600674,600674,川投能源,上海证券交易所,0.114
sh.600690,600690,海尔智家,上海证券交易所,0.308
sh.600741,600741,华域汽车,上海证券交易所,0.112
sh.600760,600760,中航沈飞,上海证券交易所,0.152
sh.600795,600795,国电电力,上海证券交易所,0.161
sh.600803,600803,新奥股份,上海证券交易所,0.072
sh.600809,600809,山西汾酒,上海证券交易所,0.267
sh.600845,600845,宝信软件,上海证券交易所,0.074
sh.600875,600875,东方电气,上海证券交易所,0.181
sh.600886,600886,国投电力,上海证券交易所,0.125
sh.600887,600887,伊利股份,上海证券交易所,0.662
sh.600893,600893,航发动力,上海证券交易所,0.235
sh.600900,600900,长江电力,上海证券交易所,1.273
sh.600905,600905,三峡能源,上海证券交易所,0.223
sh.600918,600918,中泰证券,上海证券交易所,0.073
sh.600919,600919,江苏银行,上海证券交易所,0.632
sh.600926,600926,杭州银行,上海证券交易所,0.336
sh.600930,600930,华电新能,上海证券交易所,0.069
sh.600938,600938,中国海油,上海证券交易所,0.364
sh.600941,600941,中国移动,上海证券交易所,0.332
sh.600958,600958,东方证券,上海证券交易所,0.186
sh.600989,600989,宝丰能源,上海证券交易所,0.257
sh.600999,600999,招商证券,上海证券交易所,0.222
sh.601006,601006,大秦铁路,上海证券交易所,0.243
sh.601009,601009,南京银行,上海证券交易所,0.277
sh.601012,601012,隆基绿能,上海证券交易所,0.38
sh.601018,601018,宁波港,上海证券交易所,0.055
sh.601021,601021,春秋航空,上海证券交易所,0.088
sh.601058,601058,赛轮轮胎,上海证券交易所,0.14
sh.601059,601059,信达证券,上海证券交易所,0.063
sh.601066,601066,中信建投,上海证券交易所,0.114
sh.601077,601077,渝农商行,上海证券交易所,0.147
sh.601088,601088,中国神华,上海证券交易所,0.653
sh.601100,601100,恒立液压,上海证券交易所,0.215
sh.601111,601111,中国国航,上海证券交易所,0.096
sh.601117,601117,中国化学,上海证券交易所,0.12
sh.601127,601127,赛力斯,上海证券交易所,0.276
sh.601136,601136,首创证券,上海证券交易所,0.035
sh.601138,601138,工业富联,上海证券交易所,0.951
sh.601166,601166,兴业银行,上海证券交易所,1.157
sh.601169,601169,北京银行,上海证券交易所,0.299
sh.601186,601186,中国铁建,上海证券交易所,0.118
sh.601211,601211,国泰海通,上海证券交易所,0.694
sh.601225,601225,陕西煤业,上海证券交易所,0.386
sh.601229,601229,上海银行,上海证券交易所,0.355
sh.601236,601236,红塔证券,上海证券交易所,0.04
sh.601238,601238,广汽集团,上海证券交易所,0.059
sh.601288,601288,农业银行,上海证券交易所,0.758
sh.601298,601298,青岛港,上海证券交易所,0.024
sh.601318,601318,中国平安,上海证券交易所,2.411
sh.601319,601319,中国人保,上海证券交易所,0.087
sh.601328,601328,交通银行,上海证券交易所,0.691
sh.601336,601336,新华保险,上海证券交易所,0.205
sh.601360,601360,三六零,上海证券交易所,0.149
sh.601377,601377,兴业证券,上海证券交易所,0.16
sh.601390,601390,中国中铁,上海证券交易所,0.198
sh.601398,601398,工商银行,上海证券交易所,0.918
sh.601456,601456,国联民生,上海证券交易所,0.058
sh.601600,601600,中国铝业,上海证券交易所,0.352
sh.601601,601601,中国太保,上海证券交易所,0.485
sh.601607,601607,上海医药,上海证券交易所,0.073
sh.601618,601618,中国中冶,上海证券交易所,0.08
sh.601628,601628,中国人寿,上海证券交易所,0.233
sh.601633,601633,长城汽车,上海证券交易所,0.095
sh.601658,601658,邮储银行,上海证券交易所,0.213
sh.601668,601668,中国建筑,上海证券交易所,0.386
sh.601669,601669,中国电建,上海证券交易所,0.183
sh.601688,601688,华泰证券,上海证券交易所,0.427
sh.601689,601689,拓普集团,上海证券交易所,0.199
sh.601698,601698,中国卫通,上海证券交易所,0.118
sh.601728,601728,中国电信,上海证券交易所,0.357
sh.601766,601766,中国中车,上海证券交易所,0.277
sh.601788,601788,光大证券,上海证券交易所,0.113
sh.601800,601800,中国交建,上海证券交易所,0.095
sh.601808,601808,中海油服,上海证券交易所,0.034
sh.601816,601816,京沪高铁,上海证券交易所,0.548
sh.601818,601818,光大银行,上海证券交易所,0.221
sh.601825,601825,沪农商行,上海证券交易所,0.198
sh.601838,601838,成都银行,上海证券交易所,0.186
sh.601857,601857,中国石油,上海证券交易所,0.528
sh.601868,601868,中国能建,上海证券交易所,0.151
sh.601872,601872,招商轮船,上海证券交易所,0.217
sh.601877,601877,正泰电器,上海证券交易所,0.134
sh.601878,601878,浙商证券,上海证券交易所,0.103
