bs_code,code_6,year,quarter,pubDate,statDate,roe_avg,gross_profit_margin,net_profit_margin,yoy_net_profit,asset_turnover,cfo_to_sales,equity_multiplier
sz.000001,000001,2015,1,2015-04-24,2015-03-31,0.042062,,0.272314,0.113771,0.009205,0.556093,16.859602
sz.000001,000001,2015,2,2015-08-14,2015-06-30,0.082213,,0.248739,0.150218,0.019582,3.918884,17.036771
sz.000001,000001,2015,3,2015-10-23,2015-09-30,0.123158,,0.249325,0.130368,0.029736,1.292796,16.540194
sz.000001,000001,2015,4,2016-03-10,2015-12-31,0.149530,,0.227374,0.104181,0.040976,-0.018989,15.524142
sz.000001,000001,2016,1,2016-04-21,2016-03-31,0.034870,,0.221052,0.081187,0.010613,2.152695,14.294233
sz.000001,000001,2016,2,2016-08-12,2016-06-30,0.069604,,0.224434,0.061027,0.020636,-0.606146,14.611283
sz.000001,000001,2016,3,2016-10-21,2016-09-30,0.104073,,0.228370,0.055186,0.030941,-1.865874,14.080947
sz.000001,000001,2016,4,2017-03-17,2016-12-31,0.124283,,0.209804,0.033570,0.039452,0.102019,14.608594
sz.000001,000001,2017,1,2017-04-22,2017-03-31,0.030319,,0.224235,0.021032,0.009300,-4.150115,14.471019
sz.000001,000001,2017,2,2017-08-11,2017-06-30,0.060702,,0.232168,0.021315,0.017888,-2.370499,14.623237
sz.000001,000001,2017,3,2017-10-21,2017-09-30,0.091144,,0.239913,0.023185,0.026214,-1.978969,14.384790
sz.000001,000001,2017,4,2018-03-15,2017-12-31,0.109324,,0.219207,0.026107,0.034114,-1.122833,14.629207
sz.000001,000001,2018,1,2018-04-20,2018-03-31,0.029611,,0.235317,0.061313,0.008509,1.478698,14.944971
sz.000001,000001,2018,2,2018-08-16,2018-06-30,0.059405,,0.233609,0.065159,0.017304,0.130239,14.760166
sz.000001,000001,2018,3,2018-10-24,2018-09-30,0.089467,,0.236038,0.068031,0.026260,-0.130504,14.250061
sz.000001,000001,2018,4,2019-03-07,2018-12-31,0.107415,,0.212636,0.070249,,-0.491132,14.241641
sz.000001,000001,2019,1,2019-04-24,2019-03-31,0.030331,,0.229277,0.129037,,1.637640,14.067937
sz.000001,000001,2019,2,2019-08-08,2019-06-30,0.062028,,0.227086,0.151885,,0.389686,13.993469
sz.000001,000001,2019,3,2019-10-22,2019-09-30,0.089454,,0.229424,0.154722,,0.820529,12.870637
sz.000001,000001,2019,4,2020-02-14,2019-12-31,0.101966,,0.204374,0.136071,,-0.290125,12.585572
sz.000001,000001,2020,1,2020-04-21,2020-03-31,0.025695,,0.225386,0.147999,,0.474318,11.727655
sz.000001,000001,2020,2,2020-08-28,2020-06-30,0.041175,,0.174625,-0.111991,,-0.327673,11.891456
sz.000001,000001,2020,3,2020-10-22,2020-09-30,0.066685,,0.192152,-0.051776,,0.263357,12.116144
sz.000001,000001,2020,4,2021-02-02,2020-12-31,0.085445,,0.188404,0.025998,,-0.105255,12.271721
sz.000001,000001,2021,1,2021-04-21,2021-03-31,0.027505,,0.242462,0.185307,0.009244,-0.276467,12.272586
sz.000001,000001,2021,2,2021-08-20,2021-06-30,0.047437,,0.207641,0.285495,0.018425,-1.369532,12.522820
sz.000001,000001,2021,3,2021-10-21,2021-09-30,0.077385,,0.229067,0.300786,0.027289,-0.989134,12.480324
sz.000001,000001,2021,4,2022-03-10,2021-12-31,0.095674,,0.214520,0.256084,0.036078,-1.137853,12.445075
sz.000001,000001,2022,1,2022-04-27,2022-03-31,0.032060,,0.278096,0.268259,0.009205,3.184085,12.600355
sz.000001,000001,2022,2,2022-08-18,2022-06-30,0.054704,,0.240030,0.256213,0.018349,1.635294,12.396993
sz.000001,000001,2022,3,2022-10-25,2022-09-30,0.089322,,0.265136,0.258246,0.027335,0.669135,12.212808
sz.000001,000001,2022,4,2023-03-09,2022-12-31,0.109660,,0.253014,0.252642,0.035126,0.748059,12.242371
sz.000001,000001,2023,1,2023-04-25,2023-03-31,0.033133,,0.323784,0.136342,0.008369,2.420418,12.212553
sz.000001,000001,2023,2,2023-08-24,2023-06-30,0.057258,,0.286503,0.149357,0.016376,0.499278,12.167336
sz.000001,000001,2023,3,2023-10-25,2023-09-30,0.088025,,0.310536,0.081181,0.023553,0.908300,11.841300
sz.000001,000001,2023,4,2024-03-15,2023-12-31,0.102436,,0.282060,0.020630,0.030196,0.561394,11.828890
sz.000001,000001,2024,1,2024-04-20,2024-03-31,0.031176,,0.385143,0.022600,0.006852,-0.551509,11.799179
sz.000001,000001,2024,2,2024-08-16,2024-06-30,0.054242,,0.335516,0.019380,0.013602,1.474382,11.941073
sz.000001,000001,2024,3,2024-10-19,2024-09-30,0.082528,,0.356052,0.002372,0.019691,1.229213,11.715293
sz.000001,000001,2024,4,2025-03-15,2024-12-31,0.092038,,0.303405,-0.041912,0.025835,0.431753,11.658812
sz.000002,000002,2015,1,2015-04-27,2015-03-31,0.007346,0.340017,0.102090,-0.574867,0.017196,-1.725190,4.526889
sz.000002,000002,2015,2,2015-08-17,2015-06-30,0.055248,0.304495,0.135069,0.007702,0.096173,-0.135444,4.558050
sz.000002,000002,2015,3,2015-10-28,2015-09-30,0.077412,0.290580,0.119838,0.061368,0.147509,-0.058834,4.712424
sz.000002,000002,2015,4,2016-03-14,2015-12-31,0.192403,0.293525,0.132700,0.150771,0.349287,0.082056,4.484611
sz.000002,000002,2016,1,2016-04-28,2016-03-31,0.008298,0.317810,0.085538,0.281439,0.023008,-0.734098,4.748416
sz.000002,000002,2016,2,2016-08-22,2016-06-30,0.054151,0.263089,0.094854,0.104210,0.113018,0.344904,5.155141
sz.000002,000002,2016,3,2016-10-28,2016-09-30,0.082382,0.265271,0.096453,0.205403,0.171230,0.367229,5.266570
sz.000002,000002,2016,4,2017-03-27,2016-12-31,0.196815,0.294144,0.117892,0.160226,0.333540,0.164532,5.137876
sz.000002,000002,2017,1,2017-04-28,2017-03-31,0.006116,0.298041,0.059667,-0.165406,0.021648,-0.512336,5.474260
sz.000002,000002,2017,2,2017-08-25,2017-06-30,0.064601,0.326533,0.144004,0.364661,0.079333,0.312993,5.766188
sz.000002,000002,2017,3,2017-10-27,2017-09-30,0.096520,0.317310,0.126528,0.342349,0.126660,0.142666,6.071726
sz.000002,000002,2017,4,2018-03-27,2017-12-31,0.227952,0.340956,0.153186,0.334364,0.243381,0.338921,6.242687
sz.000002,000002,2018,1,2018-04-26,2018-03-31,0.006657,0.341720,0.057728,0.286832,0.025800,-0.900344,6.267437
sz.000002,000002,2018,2,2018-08-21,2018-06-30,0.068198,0.344372,0.127602,0.249362,0.084425,-0.040152,6.536712
sz.000002,000002,2018,3,2018-10-26,2018-09-30,0.102572,0.347626,0.123836,0.260892,0.135528,-0.146181,6.633982
sz.000002,000002,2018,4,2019-03-26,2018-12-31,0.234175,0.374816,0.165521,0.203938,0.221000,0.112934,6.487457
sz.000002,000002,2019,1,2019-04-30,2019-03-31,0.007153,0.350440,0.066273,0.252267,0.031415,-0.552203,6.567468
sz.000002,000002,2019,2,2019-08-21,2019-06-30,0.074763,0.362453,0.138427,0.297905,0.089721,0.063545,6.783988
sz.000002,000002,2019,3,2019-10-25,2019-09-30,0.112933,0.359903,0.127684,0.304349,0.141390,0.007746,6.692875
sz.000002,000002,2019,4,2020-03-18,2019-12-31,0.226117,0.362451,0.149857,0.150993,0.225805,0.124185,6.393433
sz.000002,000002,2020,1,2020-04-28,2020-03-31,0.006633,0.312754,0.050870,0.114876,0.027538,-0.061829,6.347042
sz.000002,000002,2020,2,2020-08-28,2020-06-30,0.065198,0.318089,0.127293,0.056222,0.082774,0.154466,6.201369
sz.000002,000002,2020,3,2020-10-30,2020-09-30,0.101669,0.299372,0.124524,0.088926,0.136267,0.138228,5.995411
sz.000002,000002,2020,4,2021-03-31,2020-12-31,0.201254,0.292454,0.141485,0.068004,0.232898,0.126907,5.342880
sz.000002,000002,2021,1,2021-04-23,2021-03-31,0.005741,0.204104,0.040265,0.034359,0.032970,0.271094,5.367723
sz.000002,000002,2021,2,2021-08-30,2021-06-30,0.049496,0.229403,0.096783,-0.116776,0.087396,0.040581,5.375129
sz.000002,000002,2021,3,2021-10-29,2021-09-30,0.073822,0.220983,0.090629,-0.159798,0.141525,0.004493,5.247381
sz.000002,000002,2021,4,2022-03-31,2021-12-31,0.097832,0.218245,0.084076,-0.457455,0.237825,0.009084,4.935775
sz.000002,000002,2022,1,2022-04-29,2022-03-31,0.006045,0.188748,0.044473,0.105788,0.032253,-0.211581,4.951236
sz.000002,000002,2022,2,2022-08-31,2022-06-30,0.051991,0.204649,0.087488,0.106430,0.108394,0.040055,4.797450
sz.000002,000002,2022,3,2022-10-29,2022-09-30,0.071481,0.196293,0.080683,0.021669,0.179077,-0.012366,4.514203
sz.000002,000002,2022,4,2023-03-31,2022-12-31,0.094508,0.195537,0.074530,0.004162,0.272657,0.005459,4.338670
sz.000002,000002,2023,1,2023-04-29,2023-03-31,0.005917,0.154473,0.041384,0.011555,0.039126,0.102248,4.385039
sz.000002,000002,2023,2,2023-08-31,2023-06-30,0.040122,0.188665,0.075504,-0.194331,0.116753,0.009281,4.182837
sz.000002,000002,2023,3,2023-10-28,2023-09-30,0.054970,0.175806,0.072431,-0.203112,0.170578,0.000811,4.044684
sz.000002,000002,2023,4,2024-03-29,2023-12-31,0.049294,0.152350,0.043921,-0.463929,0.285557,0.008400,3.734736
sz.000002,000002,2024,1,2024-04-30,2024-03-31,-0.001444,0.108216,0.005379,-1.250356,0.041495,-0.152960,3.663947
